EntityID,volume,Custom cell groups,model
2505318700552100042,2519.905273,29,Model_1
2505318700552100043,3318.466552734375,29,Model_1
2505318700552100044,5376.285645,29,Model_1
2505318700552100045,2130.677490234375,29,Model_1
2505318700552100046,4612.211426,29,Model_1
2505318700552100047,2192.525391,29,Model_1
2505318700552100048,3497.060302734375,29,Model_1
2505318700552100049,1709.0184326171875,29,Model_1
2505318700552100050,5604.916504,29,Model_1
2505318700552100051,3271.268310546875,29,Model_1
2505318700552100052,1638.240966796875,29,Model_1
2505318700552100053,2507.657715,29,Model_1
2505318700552100054,2119.351318359375,29,Model_1
2505318700552100055,3801.705322265625,29,Model_1
2505318700552100056,2854.325439453125,29,Model_1
2505318700552100057,2394.927001953125,29,Model_1
2505318700552100058,5640.179688,29,Model_1
2505318700552100059,4265.522949,29,Model_1
2505318700552100060,5038.869141,29,Model_1
2505318700552100061,2840.41748,29,Model_1
2505318700552100062,907.4935913085938,29,Model_1
2505318700552100063,4649.885254,29,Model_1
2505318700552100064,2064.187744140625,29,Model_1
2505318700552100065,5415.6875,29,Model_1
2505318700552100066,3481.279052734375,29,Model_1
2505318700552100067,2872.339599609375,29,Model_1
2505318700552100068,5090.595703,29,Model_1
2505318700552100069,1753.4281005859375,29,Model_1
2505318700552100070,1338.152099609375,29,Model_1
2505318700552100071,2519.175048828125,29,Model_1
2505318700552100072,1821.0736083984375,29,Model_1
2505318700552100073,6044.415039,29,Model_1
2505318700552100074,1781.539306640625,29,Model_1
2505318700552100075,3245.000977,29,Model_1
2505318700552100076,4082.114501953125,29,Model_1
2505318700552100077,5064.615723,29,Model_1
2505318700552100078,3021.218017578125,29,Model_1
2505318700552100079,5421.917969,29,Model_1
2505318700552100080,2274.563232421875,29,Model_1
2505318700552100081,3923.306884765625,29,Model_1
2505318700552100082,2754.280029296875,29,Model_1
2505318700552100083,2947.776123046875,29,Model_1
2505318700552100084,3738.17041,29,Model_1
2505318700552100085,3614.313477,29,Model_1
2505318700552100086,6259.82959,29,Model_1
2505318700552100087,1089.6253662109375,29,Model_1
2505318700552100088,939.5926513671876,29,Model_1
2505318700552100089,4623.75293,29,Model_1
2505318700552100090,2297.296142578125,29,Model_1
2505318700552100091,2781.548583984375,29,Model_1
2505318700552100092,1719.395996,29,Model_1
2505318700552100093,7911.796875,29,Model_1
2505318700552100094,4809.543457,29,Model_1
2505318700552100095,2321.352294921875,29,Model_1
2505318700552100096,2486.934326171875,29,Model_1
2505318700552100098,2065.833496,29,Model_1
2505318700552100099,4115.811035,29,Model_1
2505318700552100100,4343.240723,29,Model_1
2505318700552100101,6229.029297,29,Model_1
2505318700552100102,2198.856445,29,Model_1
2505318700552100103,1999.7176513671875,29,Model_1
2505318700552100104,1990.604004,29,Model_1
2505318700552100105,3755.821044921875,29,Model_1
2505318700552100106,2149.315918,29,Model_1
2505318700552100107,5075.866211,29,Model_1
2505318700552100108,3421.295654296875,29,Model_1
2505318700552100109,2601.969970703125,29,Model_1
2505318700552100110,4265.01416,29,Model_1
2505318700552100111,4228.224609,29,Model_1
2505318700552100112,1538.7999267578125,29,Model_1
2505318700552100113,4720.790039,29,Model_1
2505318700552100114,2507.381103515625,29,Model_1
2505318700552100115,917.5736083984376,29,Model_1
2505318700552100116,3885.759033203125,29,Model_1
2505318700552100117,2486.708984,29,Model_1
2505318700552100123,862.541748,29,Model_1
2505318700553100004,2704.974121,29,Model_1
2505318700553100006,3235.498047,29,Model_1
2505318700553100008,1923.374023,29,Model_1
2505318700555100002,4892.297852,32,Model_1
2505318700555100004,3360.156494140625,32,Model_1
2505318700555100006,4034.877197265625,32,Model_1
2505318700555100007,1965.786865234375,32,Model_1
2505318700555100009,3746.623535,32,Model_1
2505318700555100010,2930.721923828125,32,Model_1
2505318700555100011,600.8353881835938,32,Model_1
2505318700555100013,1188.881836,32,Model_1
2505318700555100014,2052.700684,32,Model_1
2505318700555100015,2894.61084,32,Model_1
2505318700555100016,2165.242188,32,Model_1
2505318700555100017,3597.321533203125,32,Model_1
2505318700555100019,1846.2884521484375,32,Model_1
2505318700555100020,801.5852661132812,32,Model_1
2505318700556100001,4668.779785,32,Model_1
2505318700556100002,1942.5184326171875,32,Model_1
2505318700556100003,2090.197754,32,Model_1
2505318700556100004,4660.353027,32,Model_1
2505318700556100005,2933.035888671875,32,Model_1
2505318700556100006,2653.113037109375,32,Model_1
2505318700556100007,2810.621826171875,32,Model_1
2505318700556100008,2477.36377,32,Model_1
2505318700556100009,2266.652832,32,Model_1
2505318700556100010,1496.3228759765625,32,Model_1
2505318700556100012,4209.919922,32,Model_1
2505318700556100013,1872.6031494140625,32,Model_1
2505318700556100014,1616.979248046875,32,Model_1
2505318700556100015,1591.147461,32,Model_1
2505318700556100016,2529.344727,32,Model_1
2505318700556100017,2599.916748046875,32,Model_1
2505318700556100018,1395.4400634765625,32,Model_1
2505318700556100019,1882.4593505859375,32,Model_1
2505318700556100020,3685.495117,32,Model_1
2505318700556100021,1420.956543,32,Model_1
2505318700556100022,2779.442871,32,Model_1
2505318700556100023,2417.532958984375,32,Model_1
2505318700556100024,3532.591309,32,Model_1
2505318700556100025,2572.276367,32,Model_1
2505318700556100026,1648.3643798828125,32,Model_1
2505318700556100027,2389.247559,32,Model_1
2505318700556100028,2422.045166015625,32,Model_1
2505318700556100029,2197.814941,32,Model_1
2505318700556100030,1936.8089599609375,32,Model_1
2505318700556100031,3628.968017578125,32,Model_1
2505318700556100032,1557.4852294921875,32,Model_1
2505318700556100033,1311.3763427734375,32,Model_1
2505318700556100034,3592.881836,32,Model_1
2505318700556100035,1317.013916015625,32,Model_1
2505318700556100036,1689.9713134765625,32,Model_1
2505318700556100037,1689.718505859375,32,Model_1
2505318700556100038,1608.4769287109375,32,Model_1
2505318700556100039,2431.276123046875,32,Model_1
2505318700556100040,1608.393066,32,Model_1
2505318700556100041,2197.85791,32,Model_1
2505318700556100042,594.8945922851562,32,Model_1
2505318700556100043,2492.318603515625,32,Model_1
2505318700556100044,2316.856201171875,32,Model_1
2505318700556100045,1286.7435302734375,32,Model_1
2505318700556100046,2799.358887,32,Model_1
2505318700556100048,3025.450927734375,32,Model_1
2505318700556100049,2624.536621,32,Model_1
2505318700556100050,1199.405273,32,Model_1
2505318700556100051,3145.667724609375,32,Model_1
2505318700556100052,2841.595947265625,32,Model_1
2505318700556100053,850.7554321289062,32,Model_1
2505318700556100054,2282.606445,32,Model_1
2505318700556100055,4573.982422,32,Model_1
2505318700556100056,1824.016845703125,32,Model_1
2505318700556100057,4019.741455078125,32,Model_1
2505318700556100058,2720.895996,32,Model_1
2505318700556100059,4074.371094,32,Model_1
2505318700556100060,1278.1304931640625,32,Model_1
2505318700556100061,3771.487793,32,Model_1
2505318700556100062,2253.881836,32,Model_1
