cell,ACTC1.L,CD44.L,CDH1.S,CDX4.L,CHRD.1.S,DLX2.L,DLX3.L,EGR2.L,ELAVL3.L,EPHA2.L,EPHA4.L,EYA1.L,FOXC2.L,GATA2.L,GBX2.2.L,HNF1B.L,HOXA3.S,HOXC10.L,HOXD3.L,KRT12.4.L,MAFB.S,MSX1.L,MSX2.L,MYL1.L,MYOD1.S,NOG.L,OLIG4.L,OTX2.S,PAX3.S,PAX6.S,PAX7.L,PITX1.L,RAX.L,SIX1.L,SNAI1.S,SNAI2.L,SOX10.L,SOX17A.S,SOX2.L,SOX3.S,SOX8.L,SOX9.S,TFAP2A.L,TFAP2C.L,TP63.L,VENTX2.1.L,TBXT.S,ZIC1.S,OLIG3.S,EYA2.S,HOXB6.S,HOXB9.S,HOXC9.S,HOXD11.L
2685806100124100141,1,0,12,1,0,0,6,0,0,1,1,0,0,6,4,0,5,0,0,78,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,3,29,2,0,0,0,0,0,1,0,0,0
2685806100124100142,2,0,16,0,0,0,13,0,0,11,2,0,0,21,2,0,4,0,1,298,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,5,0,0,0,1,0,0,0,0,0
2685806100125100007,4,1,37,0,0,0,8,0,0,6,0,1,0,1,1,0,2,0,0,74,0,1,1,2,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0,0,0,10,17,20,0,0,0,0,0,0,0,0,0
2685806100125100008,2,0,2,0,7,0,1,0,0,2,8,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2685806100125100009,14,1,2,6,15,0,4,0,0,9,6,0,2,1,1,15,4,2,0,0,0,0,0,15,0,1,0,0,1,20,0,2,0,0,3,0,1,54,11,0,0,12,1,0,1,0,0,0,1,0,0,0,0,0
2685806100125100010,12,0,1,0,12,0,1,0,0,1,2,6,4,1,0,0,2,0,0,2,1,0,1,6,1,0,0,0,17,0,13,0,0,11,12,1,0,0,0,0,0,0,0,1,0,0,0,13,0,11,10,4,0,0
2685806100125100012,1,2,12,0,1,0,8,0,0,1,0,0,0,29,0,0,0,0,1,161,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13,42,1,0,0,0,0,0,0,0,1,0
2685806100125100013,554,4,0,0,7,0,1,0,0,1,3,4,2,0,0,0,3,0,1,0,10,0,0,316,34,0,2,0,0,1,0,0,1,8,6,0,1,0,1,0,0,0,0,2,0,0,0,0,0,3,1,0,0,1
2685806100125100014,183,6,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,6,0,0,83,13,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2685806100125100015,26,0,0,0,2,0,0,0,0,1,3,1,7,0,0,0,3,0,1,1,2,1,0,10,2,0,0,0,2,1,7,0,0,1,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,3,6,0,0,0
2685806100125100016,481,6,2,0,28,0,2,0,0,1,0,1,9,0,0,0,5,0,0,3,1,0,0,283,24,0,1,0,2,0,5,0,1,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0,0,1
2685806100125100017,1,0,28,0,0,0,3,0,0,4,0,1,1,1,0,0,0,1,0,42,1,0,1,1,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,6,8,13,0,0,0,0,0,0,0,0,1
