Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.7,391,984,1133,0.284,0.257,0.156,0.27
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.75,268,1107,1256,0.195,0.176,0.102,0.185
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.8,133,1242,1391,0.097,0.087,0.048,0.092
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.85,47,1328,1477,0.034,0.031,0.016,0.032
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.9,6,1369,1518,0.004,0.004,0.002,0.004
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,0.95,0,1375,1524,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1524,1375,1.0,0,1375,1524,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.5,939,240,585,0.796,0.616,0.532,0.695
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.55,883,296,641,0.749,0.579,0.485,0.653
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.6,813,366,711,0.69,0.533,0.43,0.602
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.65,735,444,789,0.623,0.482,0.373,0.544
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.7,666,513,858,0.565,0.437,0.327,0.493
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.75,558,621,966,0.473,0.366,0.26,0.413
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.8,394,785,1130,0.334,0.259,0.171,0.292
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.85,210,969,1314,0.178,0.138,0.084,0.155
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.9,44,1135,1480,0.037,0.029,0.017,0.033
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,0.95,0,1179,1524,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1524,1179,1.0,0,1179,1524,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.5,1125,242,215,0.823,0.84,0.711,0.831
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.55,1101,266,239,0.805,0.822,0.686,0.813
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.6,1077,290,263,0.788,0.804,0.661,0.796
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.65,1034,333,306,0.756,0.772,0.618,0.764
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.7,1003,364,337,0.734,0.749,0.589,0.741
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.75,947,420,393,0.693,0.707,0.538,0.7
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.8,867,500,473,0.634,0.647,0.471,0.641
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.85,737,630,603,0.539,0.55,0.374,0.545
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.9,532,835,808,0.389,0.397,0.245,0.393
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,0.95,232,1135,1108,0.17,0.173,0.094,0.171
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,1340,1367,1.0,0,1367,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.5,1119,242,221,0.822,0.835,0.707,0.829
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.55,1092,269,248,0.802,0.815,0.679,0.809
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.6,1070,291,270,0.786,0.799,0.656,0.792
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.65,1032,329,308,0.758,0.77,0.618,0.764
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.7,998,363,342,0.733,0.745,0.586,0.739
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.75,941,420,399,0.691,0.702,0.535,0.697
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.8,862,499,478,0.633,0.643,0.469,0.638
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.85,727,634,613,0.534,0.543,0.368,0.538
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.9,534,827,806,0.392,0.399,0.246,0.395
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,0.95,226,1135,1114,0.166,0.169,0.091,0.167
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,1340,1361,1.0,0,1361,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.5,1050,229,290,0.821,0.784,0.669,0.802
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.55,1025,254,315,0.801,0.765,0.643,0.783
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.6,988,291,352,0.772,0.737,0.606,0.754
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.65,937,342,403,0.733,0.699,0.557,0.716
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.7,881,398,459,0.689,0.657,0.507,0.673
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.75,802,477,538,0.627,0.599,0.441,0.612
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.8,706,573,634,0.552,0.527,0.369,0.539
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.85,586,693,754,0.458,0.437,0.288,0.447
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.9,445,834,895,0.348,0.332,0.205,0.34
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,0.95,282,997,1058,0.22,0.21,0.121,0.215
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,max_image_z3_DAPI_mask.tif,1,1340,1279,1.0,0,1279,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.5,706,330,634,0.681,0.527,0.423,0.594
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.55,662,374,678,0.639,0.494,0.386,0.557
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.6,611,425,729,0.59,0.456,0.346,0.514
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.65,546,490,794,0.527,0.407,0.298,0.46
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.7,453,583,887,0.437,0.338,0.236,0.381
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.75,353,683,987,0.341,0.263,0.174,0.297
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.8,264,772,1076,0.255,0.197,0.125,0.222
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.85,143,893,1197,0.138,0.107,0.064,0.12
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.9,39,997,1301,0.038,0.029,0.017,0.033
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,0.95,1,1035,1339,0.0009653,0.0007463,0.0004211,0.0008418
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound1_z3_DAPI_mask.tif,1,1340,1036,1.0,0,1036,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.5,477,1505,863,0.241,0.356,0.168,0.287
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.55,407,1575,933,0.205,0.304,0.14,0.245
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.6,316,1666,1024,0.159,0.236,0.105,0.19
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.65,243,1739,1097,0.123,0.181,0.079,0.146
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.7,180,1802,1160,0.091,0.134,0.057,0.108
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.75,124,1858,1216,0.063,0.093,0.039,0.075
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.8,60,1922,1280,0.03,0.045,0.018,0.036
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.85,27,1955,1313,0.014,0.02,0.008,0.016
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.9,3,1979,1337,0.002,0.002,0.0009039,0.002
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,0.95,0,1982,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_Cellbound2_z3_DAPI_mask.tif,1,1340,1982,1.0,0,1982,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.5,806,387,534,0.676,0.601,0.467,0.636
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.55,756,437,584,0.634,0.564,0.425,0.597
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.6,703,490,637,0.589,0.525,0.384,0.555
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.65,624,569,716,0.523,0.466,0.327,0.493
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.7,540,653,800,0.453,0.403,0.271,0.426
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.75,458,735,882,0.384,0.342,0.221,0.362
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.8,330,863,1010,0.277,0.246,0.15,0.261
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.85,198,995,1142,0.166,0.148,0.085,0.156
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.9,57,1136,1283,0.048,0.043,0.023,0.045
