Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.5,135,49,69,0.734,0.662,0.534,0.696
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.55,129,55,75,0.701,0.632,0.498,0.665
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.6,119,65,85,0.647,0.583,0.442,0.613
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.65,105,79,99,0.571,0.515,0.371,0.541
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.7,95,89,109,0.516,0.466,0.324,0.49
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.75,74,110,130,0.402,0.363,0.236,0.381
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.8,46,138,158,0.25,0.225,0.135,0.237
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.85,21,163,183,0.114,0.103,0.057,0.108
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.9,5,179,199,0.027,0.025,0.013,0.026
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,0.95,0,184,204,0.0,0.0,0.0,
Embryo07,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_PolyT_z3_DAPI_mask_ecto.tif,1,204,184,1.0,0,184,204,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.5,42,9,7,0.824,0.857,0.724,0.84
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.55,41,10,8,0.804,0.837,0.695,0.82
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.6,41,10,8,0.804,0.837,0.695,0.82
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.65,38,13,11,0.745,0.776,0.613,0.76
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.7,34,17,15,0.667,0.694,0.515,0.68
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.75,33,18,16,0.647,0.673,0.493,0.66
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.8,31,20,18,0.608,0.633,0.449,0.62
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.85,25,26,24,0.49,0.51,0.333,0.5
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.9,18,33,31,0.353,0.367,0.22,0.36
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,0.95,2,49,47,0.039,0.041,0.02,0.04
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,added_image_z3_DAPI_mask_ecto.tif,1,49,51,1.0,0,51,49,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.5,42,9,7,0.824,0.857,0.724,0.84
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.55,41,10,8,0.804,0.837,0.695,0.82
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.6,41,10,8,0.804,0.837,0.695,0.82
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.65,38,13,11,0.745,0.776,0.613,0.76
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.7,35,16,14,0.686,0.714,0.538,0.7
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.75,33,18,16,0.647,0.673,0.493,0.66
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.8,31,20,18,0.608,0.633,0.449,0.62
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.85,24,27,25,0.471,0.49,0.316,0.48
