EntityID,volume,x,y,sox3_expression,sox17a_expression,model
10998,8918.2421875,5321.460864793742,5292.338133481157,43,1,Model_2
10999,7874.95849609375,5533.404061021516,5294.217563979386,27,0,Model_2
11000,7884.90478515625,5337.422062268248,5306.95035232848,15,0,Model_2
11001,5245.10302734375,5399.647440136643,5298.76988379145,42,0,Model_2
11002,5544.3056640625,5420.206331571331,5305.263104196987,53,2,Model_2
11003,3711.947509765625,5558.336930030258,5302.4234684178955,12,0,Model_2
11004,2108.009033203125,5458.559421817074,5302.198784621491,23,0,Model_2
11005,3965.264892578125,5572.7845894850325,5306.780073099129,33,0,Model_2
11006,14080.1640625,5362.81801498984,5319.140508112672,92,0,Model_2
11007,1508.8868408203125,5467.028421965195,5309.627480959229,9,0,Model_2
11008,5160.33056640625,5518.708748447942,5314.742216815124,15,0,Model_2
11009,2705.912353515625,5545.886146466481,5312.238900177821,10,1,Model_2
11010,3694.108154296875,5590.407088271342,5313.733965942578,22,0,Model_2
11011,2107.279052734375,5504.17408817634,5314.916735361388,7,1,Model_2
11012,2251.70751953125,5390.550100755878,5312.408472854353,41,1,Model_2
11013,2930.650390625,5446.8179941195995,5314.057567133626,56,0,Model_2
11014,5147.66064453125,5611.804225671338,5322.74816680589,32,0,Model_2
11015,2124.47509765625,5534.6234534224495,5322.209773557901,9,1,Model_2
11016,1894.332763671875,5402.360116398893,5322.436577012762,46,0,Model_2
11017,6380.36279296875,5413.039581744932,5341.954392081592,12,0,Model_2
11018,2503.322509765625,5464.907259193016,5324.849454889249,8,0,Model_2
11019,3476.282470703125,5572.791033989983,5326.6893184296205,1,0,Model_2
11020,6195.07861328125,5325.286138803465,5330.508236415684,73,0,Model_2
11021,10908.2197265625,5379.500536696985,5340.421879017435,14,0,Model_2
11022,7212.12451171875,5428.603061199654,5333.082914887695,22,0,Model_2
11023,5184.77734375,5448.811647758121,5334.742607459251,0,0,Model_2
11024,3581.158447265625,5496.369332359871,5329.010344439652,2,0,Model_2
11025,5317.00732421875,5587.192200944759,5337.301035216427,14,0,Model_2
11026,3302.82763671875,5540.139949659817,5337.751815914875,8,0,Model_2
11027,6213.27392578125,5522.9644233239815,5342.8722041933215,3,0,Model_2
11028,3810.78369140625,5559.339510871796,5338.745229178225,12,0,Model_2
11029,2689.750732421875,5603.80981728062,5340.9786426387145,11,0,Model_2
11030,4885.4345703125,5325.648412046023,5362.380834075506,2,1,Model_2
11031,2250.817138671875,5554.637323867064,5356.584981302207,0,0,Model_2
11032,2159.71826171875,5310.385983036831,5363.1333128276165,2,0,Model_2
11033,3189.315673828125,5359.307601079112,5366.3092677484965,0,0,Model_2
11034,5778.732421875,5506.127233498031,5377.007890532026,0,0,Model_2
11035,3735.703857421875,5567.408951713005,5373.730898558046,0,0,Model_2
11036,388.39068603515625,5321.091686724452,5383.897487068956,0,0,Model_2
11037,17067.2421875,5648.9986859913915,5347.866826070007,39,0,Model_2
11038,4978.32080078125,5685.708427474834,5370.156447847316,10,0,Model_2
11040,29143.97265625,1134.0425026121084,5365.029700593499,14,20,Model_2
11041,14013.865234375,1249.847839877766,5368.947535974206,8,12,Model_2
11042,13549.931640625,1208.8116490442771,5371.945439584728,20,21,Model_2
11043,16485.693359375,1180.1418878079858,5400.624418503197,14,7,Model_2
11044,23533.595703125,1134.4430976430303,5413.386175517866,11,10,Model_2
11045,11232.9912109375,1217.838674272818,5403.069797809352,14,4,Model_2
11046,13507.068359375,1245.8783700697822,5413.191166939854,9,10,Model_2
11047,6115.03515625,1216.1183366924524,5429.865106912679,15,10,Model_2
11048,11299.890625,1180.7522744911257,5443.678214521846,22,1,Model_2
11049,10828.169921875,1252.5075791350682,5446.90857400978,11,1,Model_2
11050,10162.392578125,1209.980981451401,5450.589714196161,8,1,Model_2
11051,5115.255859375,1277.7711893442902,5444.960607888119,4,6,Model_2
11052,12404.0234375,1121.406554611458,5450.98255756346,4,4,Model_2
11053,19172.689453125,1154.3699672708171,5468.239403611864,31,0,Model_2
11054,21788.212890625,1088.7146167231258,5479.9787786976085,14,33,Model_2
11055,10967.775390625,1232.3506636966486,5475.23286341317,14,4,Model_2
11056,10891.837890625,1195.762792405032,5479.915895496728,15,2,Model_2
11057,11916.6552734375,1125.1248038068297,5494.126792342926,24,6,Model_2
11058,8806.5361328125,1181.830578265828,5506.875124854036,35,0,Model_2
11059,5932.41552734375,1220.1636445140466,5498.04038840672,7,1,Model_2
11060,9568.794921875,1155.4754300306668,5512.506350820535,22,2,Model_2
11061,16656.08203125,1101.9633680962725,5527.3545583093655,22,7,Model_2
11062,7814.8232421875,1239.2229226629133,5519.085064117156,12,6,Model_2
11063,8971.44140625,1208.2868822126184,5520.0042893345235,21,1,Model_2
11064,5561.1494140625,1131.5284551988589,5522.1154691573465,17,0,Model_2
11065,11825.908203125,1173.5650403454201,5542.715723144705,41,1,Model_2
11066,11636.0458984375,1248.9533195745898,5550.550687353301,31,0,Model_2
